Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,7989.2843,2.9738,0.6816,2.2922,2.8935,2.2494,2.2494,0.0000,13.7139,4.1855,0.7547,7989.2843,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,7992.2581,2.2430,0.6680,1.5750,2.1691,2.8021,2.8021,0.0000,14.9256,4.1449,-1.2117,7992.2581,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,7994.5011,2.8683,0.7329,2.1354,2.7282,2.1740,2.1740,0.0000,NA,NA,NA,NA,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,7997.3694,2.1271,0.8609,1.2662,2.0339,2.7894,2.7894,0.0000,13.9592,4.2937,0.9664,7997.3694,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,7999.4965,2.7772,1.4538,1.3234,2.6962,2.7091,2.7091,0.0000,NA,NA,NA,NA,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8002.2737,2.7069,0.7529,1.9540,2.6281,2.3567,2.3567,0.0000,13.3486,4.0361,0.6106,8002.2737,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8004.9806,2.3555,0.6872,1.6683,2.2779,2.6377,2.6377,0.0000,14.6778,4.1887,-1.3292,8004.9806,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8007.3361,2.6356,0.7808,1.8548,2.5601,2.6768,2.6768,0.0000,NA,NA,NA,NA,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8009.9717,2.6845,0.7132,1.9713,2.6013,2.3078,2.3078,0.0000,13.8754,4.1581,0.8024,8009.9717,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8012.6562,2.3028,0.8199,1.4829,2.2246,2.6640,2.6640,0.0000,15.3490,4.1712,-1.4736,8012.6562,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8014.9590,2.6620,0.9010,1.7610,2.5858,2.2529,2.2529,0.0000,NA,NA,NA,NA,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8017.6210,2.2610,0.7573,1.5037,2.1767,2.6543,2.6543,0.0000,14.5554,4.1657,0.7936,8017.6210,NA,NA,NA
cs2.exe,35024,0xF9F78E0260,DXGI,0,0,0,Composed: Flip,8019.8820,2.6432,0.6400,2.0032,2.5700,3.0073,3.0073,0.0000,NA,NA,NA,NA,NA,NA,NA
